"Pais","Region","Superficie_km2","Poblacion_Miles_2017","Poblacion_Denskm2_2017.","SexoProporcionMpor100F_2017.","PIB_millonesUSD","PIB_crecimientoAnual","PIB_PerCapita","Economia_PorcentajeAgricola","Economia_PorcentajeIndustria","Empleados_PorcentajeAgricola","Empleados_PorcentajeIndustria","Desempleo_PorcentajePob","IndiceProduccionAgricola","IndiceProducionAlimentaria","ComercioIntExportacion_millonesUSD","ComercioIntImportacion_millonesUSD","CrecimientoPoblacion_TasaAnual","PoblacionUrbana_Porcentaje","CrecimientoPobUrbana_TasaAnual","TasaFertilidac_NacVivosMujer","MortalidadInfantil_porMilNac","GastoSalud_PIB","medicos_porMilpoblacion","GastoEducacion_PIB","participacionLaboralFem","participacionLaboralMasc","EducPrimariaTasaFem","EducPrimariaTasaMasc","EducSecundariaTasaFem","EducSecundariaTasaMasc","EducTerciariaTasaFem","EducTerciariaTasaMasc","AccesoAguaMejorPobUrbana","AccesoAguaMejorPobRural","EsperanzaVidaFem","EsperanzaVidaMasc","PorcentPoblacionJoven","PorcentPoblacionVieja","MigracionNum","MigracionPorcentaje"
"Afghanistan","SouthernAsia",652864,35530,54.4,106.3,20270,-2.4,623.2,23.3,23.3,61.6,10,8.6,125,125,1458,3568,3.2,26.7,4,5.3,68.6,8.2,0.3,3.3,19.3,83.6,91.1,131.6,39.7,70.7,9.8,0.3,45.1,27,63.5,61,43.2,4.1,382.4,1.2
"Albania","SouthernEurope",28748,2930,106.9,101.9,11541,2.6,3984.2,22.4,26,41.4,18.3,15.8,134,134,1962,4669,-0.1,57.4,2.2,1.7,14.6,5.9,1.3,3.5,40.2,61,111.7,115.5,92.5,98.8,5.7,2,95.5,90.2,79.9,75.6,17.4,19,57.6,2
"Algeria","NorthernAfrica",2381741,41318,17.3,102,164779,3.8,4154.1,12.2,37.3,10.8,34.5,11.4,160,161,29992,47091,2,70.7,2.8,3,27.7,7.2,NA,NA,17,70.7,112.7,119.5,101.7,98.1,145.4,3.7,89.8,82.2,76.5,74.1,29.3,9.4,242.4,0.6
"American Samoa","Polynesia",199,56,278.2,103.6,-99,-99,-99,-99,-99,NA,NA,NA,112,112,-99,-99,NA,87.2,-0.1,2.6,9.6,-99,-99,-99,NA,NA,-99,NA,-99,NA,-99,NA,62.5,62.5,77.8,71.1,33.3,9,23.2,41.8
"Andorra","SouthernEurope",468,77,163.8,102.3,2812,0.8,39896.4,0.5,10.8,-99,-99,-99,-99,-99,100,1355,-1.6,85.1,0.1,1.2,-99,8.1,3.7,3.3,-99,NA,-99,NA,-99,NA,0.5,6.4,100,100,-99,NA,14.4,19,42.1,59.7
"Angola","MiddleAfrica",1246700,29784,23.9,96.2,117955,3,4714.1,6.8,51.2,4.2,37.6,6.6,175,176,21011,8790,3.5,44.1,5,6,65.4,3.3,NA,NA,59.8,77.1,100.4,156.9,22.7,35.1,34.8,1.4,88.6,22.5,63,57.4,46.8,4,106.8,0.4
"Anguilla","Caribbean",91,15,165.7,97.6,320,2.9,21879.6,2.3,15.7,NA,NA,NA,-99,-99,2,154,1.2,100,1.2,NA,-99,-99,-99,NA,NA,NA,-99,NA,-99,NA,0.1,9.8,97.9,NA,NA,NA,23.3,7.6,5.5,37.4
"Antigua and Barbuda","Caribbean",442,102,231.8,92.3,1356,4.1,14764.5,1.9,18.3,NA,NA,NA,88,88,61,491,1.1,23.8,-0.9,2.1,9.1,5.5,-99,NA,NA,NA,94.1,100,103.8,101.6,0.5,5.8,91.4,91.4,78.2,73.3,23.9,10.9,28.1,30.6
"Argentina","SouthAmerica",2780400,44271,16.2,95.9,632343,2.4,14564.5,6,27.8,2,24.8,6.5,119,119,57733,55610,1,91.8,1,2.3,13.7,4.8,3.8,5.3,48.6,74.4,109.8,110.2,110.3,103.4,204,4.7,96.2,98.3,79.8,72.2,24.9,15.4,2086.3,4.8
"Armenia","WesternAsia",29743,2930,102.9,88.8,10529,3,3489.1,19,28.3,35,15.7,16.6,135,135,1776,3230,0.3,62.7,-0.1,1.6,13.2,4.5,2.8,2.8,55.3,74.2,98.5,98.5,89,88.1,5.5,1.8,96.2,78.2,77,70.6,20,16.9,191.2,6.3
"Aruba","Caribbean",180,105,584.8,90.4,2702,0.1,26005.4,0.5,15.4,0.6,14,NA,-99,-99,95,1117,0.5,41.5,-0.3,1.8,14.8,-99,-99,6.2,58.8,69.6,115.4,119.1,112.1,110.3,0.9,8.4,97.7,97.7,77.8,72.9,17.9,19.7,36.1,34.8
"Australia","Oceania",7692060,24451,3.2,99.3,1230859,2.4,51352.2,2.5,26.5,2.7,21.2,5.5,111,111,189630,189406,1.5,89.4,1.5,1.9,3.9,9.4,3.4,5.2,58.4,70.7,102.1,102.3,133.6,141.3,361.3,15.3,100,100,84.4,80.2,19,21,6763.7,28.2
"Austria","WesternEurope",83871,8736,106,96.2,376967,1,44117.7,1.3,28.3,4.7,25.6,6.2,108,108,145503,149299,0.6,66,0.4,1.4,3.3,11.2,5.2,5.5,54.6,65.8,102.2,103.7,97.6,102.4,58.7,6.9,100,100,83.5,78.4,14.1,25.1,1492.4,17.5
"Azerbaijan","WesternAsia",86600,9828,118.9,99.3,53049,0.7,5438.7,6.7,49.9,36.7,14.2,5.2,131,136,9143,8532,1.3,54.6,1.6,2.1,31.4,6,3.4,2.6,62,68.8,105.6,107.4,-99,NA,37.5,3.9,91.6,86.6,74.6,68.6,23.3,10.1,264.2,2.7
"Bahamas","Caribbean",13940,395,39.5,95.9,8854,-1.7,22817.2,1.6,12.7,3.9,14.2,14.7,132,132,365,2904,1.4,82.9,1.5,1.8,9.1,7.7,NA,NA,69.4,79.1,NA,NA,NA,NA,2.4,6.3,92,92,78.1,72,20.5,13.5,59.3,15.3
"Bahrain","WesternAsia",771,1493,1963.9,168.3,31126,2.9,22600.2,0.3,40.7,1,33.4,1.3,167,167,12892,14749,2,88.8,1.7,2.1,6.9,5,0.9,2.7,38.5,84.9,101.8,100.6,101.9,102.4,31.3,23,99.2,99.2,77.5,75.6,19.7,4.6,704.1,51.1
"Bangladesh","SouthernAsia",147570,164670,1265,101.7,194466,6.6,1207.9,15.5,28.1,40.6,19.1,4,141,140,36031,52624,1.2,34.3,3.6,2.2,33.3,2.8,0.4,1.9,43.2,81.1,125.1,116,67.4,59.8,73.2,0.5,57.7,62.1,72.9,69.8,28.4,7.3,1422.8,0.9
"Barbados","Caribbean",431,286,664.5,91.9,4385,0.9,15429.4,1.7,12.1,2.8,19.3,11.3,88,88,517,1621,0.3,31.5,0.1,1.8,9.6,7.5,NA,6.6,61.8,70,94.2,93.1,110.7,107.9,1.3,4.5,96.2,96.2,77.7,72.9,19.1,21,34.5,12.1
"Belarus","EasternEurope",207600,9468,46.7,87,54609,-3.9,5750.8,7.5,38.9,9.6,32,0.5,122,122,23414,27464,NA,76.7,NA,1.6,3.6,5.7,4.1,4.9,54,67.8,101.3,101.4,106.4,107.8,63.5,6.7,94.1,95.2,77.7,66.5,16.7,21.3,1082.9,11.4
"Belgium","WesternEurope",30528,11429,377.5,97.3,455107,1.5,40277.8,0.7,22.2,1.2,21.2,8.3,108,107,398033,372713,0.6,97.9,0.5,1.8,3.5,10.6,3,6.6,48.1,58.9,104.2,104.2,177.7,156.4,93.4,8.3,99.5,99.4,83,78,17.1,24.6,1387.9,12.3
"Belize","CentralAmerica",22966,375,16.4,99.2,1721,1.2,4789.4,14.6,18.5,16.1,15.9,11.5,97,97,246,952,2.2,44,1.9,2.6,14.3,5.8,NA,6.4,56.7,83.8,110.4,115.8,81.8,79.8,0.5,1.4,93.5,88.2,72.7,67.2,31.4,6.2,53.9,15
"Benin","WesternAfrica",114763,11176,99.1,99.5,8476,5.2,779.1,23.2,24.9,43.2,10.2,1,152,158,410,2630,2.8,44,3.7,5.2,67.7,4.6,0.1,4.4,70,73.4,123.7,134.2,46.8,66.7,6.3,0.6,35.6,7.3,61.4,58.5,42.7,5,245.4,2.3
"Bermuda","NorthernAmerica",53,61,1227,91.4,5853,0.4,94399.9,0.7,5.3,1.6,10.3,6.7,115,115,8,971,-0.6,100,0.2,1.5,-99,-99,-99,1.7,72.6,80,89.4,91.3,75.5,67.7,0.6,9.2,-99,NA,85.1,77.5,14.8,24.9,19.1,30.8
"Bhutan","SouthernAsia",38394,808,21.2,113.1,2074,5.2,2677.1,17.2,43.9,56.6,9.7,2.4,98,98,616,1688,1.6,38.6,3.7,2.2,30.5,3.6,0.3,7.4,59.4,73.5,96.9,96.6,87.1,81.4,1,1.3,77.9,33.1,68.9,68.6,26.5,7.3,51.1,6.6
"Bolivia (Plurinational State of)","SouthAmerica",1098581,11052,10.2,100.2,32998,4.8,3076.8,12.6,31,29.5,21.1,3.8,142,143,6969,8374,1.6,68.5,2.3,3,42.9,6.3,0.5,7.3,64.1,82.6,95.7,98.5,85.7,87.1,20.4,1.9,60.8,27.5,70.2,65.3,31.6,9.5,143,1.3
"Bonaire, Sint Eustatius and Saba","Caribbean",-99,25,77.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.2,74.7,2.4,-99,-99,-99,-99,-99,-99,NA,-99,NA,-99,NA,0.3,13.3,-99,NA,-99,NA,-99,NA,13,52.3
"Bosnia and Herzegovina","SouthernEurope",51209,3507,68.8,96.4,16251,3.1,4265,7.3,26.5,18,30.4,25.4,96,97,5327,9130,-1,39.8,0.1,1.3,7.6,9.6,1.9,-99,34.3,57.5,-99,NA,-99,NA,22.2,5.8,98.9,92,78.8,73.7,14.1,23.4,34.8,0.9
"Botswana","SouthernAfrica",582000,2292,4,97.7,14391,-0.3,6360.6,2.4,33.4,25.7,14.9,18.6,110,110,7321,6103,1.8,57.4,1.3,2.9,35.2,5.4,0.4,NA,73.6,81.6,105.8,109.4,NA,NA,7,3.2,78.5,43.1,66.1,59.8,31.4,6.4,160.6,7.1
"Brazil","SouthAmerica",8515767,209288,25,96.6,1772591,-3.8,8528.3,5.2,22.7,15.2,21.5,12.4,135,136,185235,137552,0.9,85.7,1.2,1.8,15.8,8.3,1.9,6,56,78.2,113.8,116.8,102.2,97.2,529.8,2.6,88,51.5,78.4,71,21.7,12.6,713.6,0.3
"British Virgin Islands","Caribbean",151,31,208,97.1,908,-1.1,30144.5,1,11.1,NA,NA,-99,103,103,NA,444,2,46.2,1.8,NA,-99,-99,-99,6.6,-99,NA,-99,NA,-99,NA,0.2,6,97.5,97.5,NA,NA,NA,NA,17.3,57.5
"Brunei Darussalam","South-easternAsia",5765,429,81.3,106,12930,-0.6,30552.7,1.1,60.2,0.6,19.4,2.1,157,157,4875,2679,1.4,77.2,1.8,1.9,6.5,2.6,1.5,4.4,50.6,75,108.2,108.1,96.3,95.9,9.1,21.8,-99,NA,78.4,75.1,23,8,102.7,24.3
"Bulgaria","EasternEurope",111002,7085,65.3,94.6,48953,3,6846.8,5.1,27.6,6.5,29.4,8.1,117,119,26088,28875,-0.6,73.9,-0.3,1.5,8.3,8.4,4,4.1,48.5,60.1,96.7,97.7,97.4,100.5,42.4,5.9,86.8,83.7,77.8,70.8,14.2,27.7,102.1,1.4
"Burkina Faso","WesternAfrica",272967,19193,70.2,99.5,11065,4.1,611.1,34.5,21.8,80,4.9,2.9,131,134,2019,3699,3,29.9,5.9,5.6,64.8,5,NA,4.1,76.5,90.5,86.1,89.9,32.2,35.1,2.8,0.1,50.4,6.7,59.3,58,45.2,3.9,704.7,3.9
"Burundi","EasternAfrica",27830,10864,423.1,96.9,2735,-4.1,244.6,36.3,13.9,91.1,2.6,1.7,109,122,123,625,3,12.1,5.7,6,77.8,7.5,NA,5.4,84.6,82.7,124.5,123.1,40.5,44.5,0.4,NA,43.8,48.6,58,54.2,45,4.4,286.8,2.6
